time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
0.800500,[Sector: 0 elevation: 0.000000],5,27,12224,377
0.800500,[Sector: 0 elevation: 0.000000],4,27,12224,377
0.800500,[Sector: 0 elevation: 0.000000],3,27,12224,377
0.800500,[Sector: 0 elevation: 0.000000],2,27,12224,377
0.800500,[Sector: 0 elevation: 0.000000],1,27,12224,390
0.801500,[Sector: 0 elevation: 0.000000],9,17,9822,377
0.801500,[Sector: 0 elevation: 0.000000],8,27,8249,390
0.801500,[Sector: 0 elevation: 0.000000],7,25,8549,377
0.801500,[Sector: 0 elevation: 0.000000],6,15,10141,377
0.801500,[Sector: 0 elevation: 0.000000],5,27,8382,390
0.801500,[Sector: 0 elevation: 0.000000],4,27,8382,390
0.801500,[Sector: 0 elevation: 0.000000],3,27,8382,390
0.801500,[Sector: 0 elevation: 0.000000],2,27,8382,390
0.801500,[Sector: 0 elevation: 0.000000],1,27,8249,377
0.802000,[Sector: 0 elevation: 0.000000],9,17,7501,390
0.802000,[Sector: 0 elevation: 0.000000],8,27,4274,377
0.802000,[Sector: 0 elevation: 0.000000],7,25,4997,390
0.802000,[Sector: 0 elevation: 0.000000],6,15,8128,390
0.802000,[Sector: 0 elevation: 0.000000],5,27,4407,377
0.802000,[Sector: 0 elevation: 0.000000],4,27,4407,377
0.802000,[Sector: 0 elevation: 0.000000],3,27,4407,377
0.802000,[Sector: 0 elevation: 0.000000],2,27,4407,390
0.802000,[Sector: 0 elevation: 0.000000],1,27,4407,390
0.802500,[Sector: 0 elevation: 0.000000],9,17,5099,832
0.802500,[Sector: 0 elevation: 0.000000],8,27,432,52
0.802500,[Sector: 0 elevation: 0.000000],7,25,1322,143
0.802500,[Sector: 0 elevation: 0.000000],6,15,6045,1131
0.802500,[Sector: 0 elevation: 0.000000],5,27,565,65
0.802500,[Sector: 0 elevation: 0.000000],4,27,565,65
0.802500,[Sector: 0 elevation: 0.000000],3,27,565,65
0.802500,[Sector: 0 elevation: 0.000000],2,27,432,52
0.802500,[Sector: 0 elevation: 0.000000],1,27,432,52
0.803000,[Sector: 0 elevation: 0.000000],6,15,10,13
0.812500,[Sector: 0 elevation: 0.000000],9,17,552,91
0.812500,[Sector: 0 elevation: 0.000000],8,27,3085,312
0.812500,[Sector: 0 elevation: 0.000000],7,25,2264,247
0.812500,[Sector: 0 elevation: 0.000000],5,27,2952,299
0.812500,[Sector: 0 elevation: 0.000000],4,27,2952,299
0.812500,[Sector: 0 elevation: 0.000000],3,27,2952,299
0.812500,[Sector: 0 elevation: 0.000000],2,27,3085,312
0.812500,[Sector: 0 elevation: 0.000000],1,27,3085,312
0.813000,[Sector: 0 elevation: 0.000000],6,27,3547,351
0.822500,[Sector: 0 elevation: 0.000000],8,27,552,65
0.822500,[Sector: 0 elevation: 0.000000],5,27,552,65
0.822500,[Sector: 0 elevation: 0.000000],4,27,552,65
0.822500,[Sector: 0 elevation: 0.000000],3,25,552,65
0.822500,[Sector: 0 elevation: 0.000000],2,27,552,65
0.822500,[Sector: 0 elevation: 0.000000],1,27,552,65
0.823000,[Sector: 0 elevation: 0.000000],6,25,552,65
1.000500,[Sector: 0 elevation: 0.000000],9,23,12224,390
1.000500,[Sector: 0 elevation: 0.000000],8,27,12224,377
1.000500,[Sector: 0 elevation: 0.000000],7,25,12224,390
1.000500,[Sector: 0 elevation: 0.000000],6,25,12224,377
1.000500,[Sector: 0 elevation: 0.000000],5,27,12224,390
1.000500,[Sector: 0 elevation: 0.000000],4,27,12224,390
1.000500,[Sector: 0 elevation: 0.000000],3,27,12224,390
1.000500,[Sector: 0 elevation: 0.000000],2,27,12224,377
1.000500,[Sector: 0 elevation: 0.000000],1,27,12224,377
1.001500,[Sector: 0 elevation: 0.000000],9,23,8935,390
1.001500,[Sector: 0 elevation: 0.000000],8,27,8382,390
1.001500,[Sector: 0 elevation: 0.000000],7,25,8549,377
1.001500,[Sector: 0 elevation: 0.000000],6,25,8672,390
1.001500,[Sector: 0 elevation: 0.000000],5,27,8249,377
1.001500,[Sector: 0 elevation: 0.000000],4,27,8249,377
1.001500,[Sector: 0 elevation: 0.000000],3,27,8249,377
1.001500,[Sector: 0 elevation: 0.000000],2,27,8382,390
1.001500,[Sector: 0 elevation: 0.000000],1,27,8382,390
1.002000,[Sector: 0 elevation: 0.000000],9,23,5646,377
1.002000,[Sector: 0 elevation: 0.000000],8,27,4407,390
1.002000,[Sector: 0 elevation: 0.000000],7,25,4997,390
1.002000,[Sector: 0 elevation: 0.000000],6,25,4997,377
1.002000,[Sector: 0 elevation: 0.000000],5,27,4407,390
1.002000,[Sector: 0 elevation: 0.000000],4,27,4407,390
1.002000,[Sector: 0 elevation: 0.000000],3,27,4407,390
1.002000,[Sector: 0 elevation: 0.000000],2,27,4407,377
1.002000,[Sector: 0 elevation: 0.000000],1,27,4407,377
1.002500,[Sector: 0 elevation: 0.000000],9,23,2467,299
1.002500,[Sector: 0 elevation: 0.000000],8,27,432,52
1.002500,[Sector: 0 elevation: 0.000000],7,25,1322,143
1.002500,[Sector: 0 elevation: 0.000000],6,25,1445,156
1.002500,[Sector: 0 elevation: 0.000000],5,27,432,52
1.002500,[Sector: 0 elevation: 0.000000],4,27,432,52
1.002500,[Sector: 0 elevation: 0.000000],3,27,432,52
1.002500,[Sector: 0 elevation: 0.000000],2,27,565,65
1.002500,[Sector: 0 elevation: 0.000000],1,27,565,65
1.014000,[Sector: 0 elevation: 0.000000],9,17,1087,182
1.014000,[Sector: 0 elevation: 0.000000],8,27,3085,312
1.014000,[Sector: 0 elevation: 0.000000],7,25,2264,247
1.014000,[Sector: 0 elevation: 0.000000],6,23,2141,260
1.014000,[Sector: 0 elevation: 0.000000],5,27,3085,312
1.014000,[Sector: 0 elevation: 0.000000],4,27,3085,312
1.014000,[Sector: 0 elevation: 0.000000],3,27,3085,312
1.014000,[Sector: 0 elevation: 0.000000],2,27,2952,299
1.014000,[Sector: 0 elevation: 0.000000],1,27,2952,299
1.024000,[Sector: 0 elevation: 0.000000],8,27,552,65
1.024000,[Sector: 0 elevation: 0.000000],5,27,552,65
1.024000,[Sector: 0 elevation: 0.000000],4,27,552,65
1.024000,[Sector: 0 elevation: 0.000000],3,25,552,65
1.024000,[Sector: 0 elevation: 0.000000],2,27,552,65
1.024000,[Sector: 0 elevation: 0.000000],1,27,552,65
1.200500,[Sector: 0 elevation: 0.000000],9,15,12224,390
1.200500,[Sector: 0 elevation: 0.000000],8,27,12224,377
1.200500,[Sector: 0 elevation: 0.000000],7,25,12224,390
1.200500,[Sector: 0 elevation: 0.000000],6,23,12224,390
1.200500,[Sector: 0 elevation: 0.000000],5,27,12224,377
1.200500,[Sector: 0 elevation: 0.000000],4,27,12224,377
1.200500,[Sector: 0 elevation: 0.000000],3,27,12224,377
1.200500,[Sector: 0 elevation: 0.000000],2,27,12224,390
1.200500,[Sector: 0 elevation: 0.000000],1,27,12224,390
1.201500,[Sector: 0 elevation: 0.000000],9,15,10141,390
1.201500,[Sector: 0 elevation: 0.000000],8,27,8382,390
1.201500,[Sector: 0 elevation: 0.000000],7,25,8549,377
1.201500,[Sector: 0 elevation: 0.000000],6,23,8935,377
1.201500,[Sector: 0 elevation: 0.000000],5,27,8382,390
1.201500,[Sector: 0 elevation: 0.000000],4,27,8382,390
1.201500,[Sector: 0 elevation: 0.000000],3,27,8382,390
1.201500,[Sector: 0 elevation: 0.000000],2,27,8249,377
1.201500,[Sector: 0 elevation: 0.000000],1,27,8249,377
1.202000,[Sector: 0 elevation: 0.000000],9,15,8058,377
1.202000,[Sector: 0 elevation: 0.000000],8,27,4407,377
1.202000,[Sector: 0 elevation: 0.000000],7,25,4997,390
1.202000,[Sector: 0 elevation: 0.000000],6,23,5756,390
1.202000,[Sector: 0 elevation: 0.000000],5,27,4407,377
1.202000,[Sector: 0 elevation: 0.000000],4,27,4407,390
1.202000,[Sector: 0 elevation: 0.000000],3,27,4407,377
1.202000,[Sector: 0 elevation: 0.000000],2,27,4407,390
1.202000,[Sector: 0 elevation: 0.000000],1,27,4407,390
1.202500,[Sector: 0 elevation: 0.000000],9,15,6045,1131
1.202500,[Sector: 0 elevation: 0.000000],8,27,565,65
1.202500,[Sector: 0 elevation: 0.000000],7,25,1322,143
1.202500,[Sector: 0 elevation: 0.000000],6,23,2467,299
1.202500,[Sector: 0 elevation: 0.000000],5,27,565,65
1.202500,[Sector: 0 elevation: 0.000000],4,27,432,52
1.202500,[Sector: 0 elevation: 0.000000],3,27,565,65
1.202500,[Sector: 0 elevation: 0.000000],2,27,432,52
1.202500,[Sector: 0 elevation: 0.000000],1,27,432,52
1.203000,[Sector: 0 elevation: 0.000000],9,15,10,13
1.214000,[Sector: 0 elevation: 0.000000],9,27,3547,351
1.214000,[Sector: 0 elevation: 0.000000],8,23,2952,351
1.214000,[Sector: 0 elevation: 0.000000],7,25,2264,247
1.214000,[Sector: 0 elevation: 0.000000],6,23,1087,130
1.214000,[Sector: 0 elevation: 0.000000],5,27,2952,299
1.214000,[Sector: 0 elevation: 0.000000],4,27,3085,312
1.214000,[Sector: 0 elevation: 0.000000],3,25,2952,325
1.214000,[Sector: 0 elevation: 0.000000],2,27,3085,312
1.214000,[Sector: 0 elevation: 0.000000],1,27,3085,312
1.224000,[Sector: 0 elevation: 0.000000],9,25,552,65
1.224000,[Sector: 0 elevation: 0.000000],8,23,552,78
1.224000,[Sector: 0 elevation: 0.000000],5,27,552,65
1.224000,[Sector: 0 elevation: 0.000000],4,27,552,65
1.224000,[Sector: 0 elevation: 0.000000],3,25,552,65
1.224000,[Sector: 0 elevation: 0.000000],2,27,552,65
1.224000,[Sector: 0 elevation: 0.000000],1,27,552,65
1.400500,[Sector: 0 elevation: 0.000000],9,23,12224,377
1.400500,[Sector: 0 elevation: 0.000000],8,25,12224,377
1.400500,[Sector: 0 elevation: 0.000000],7,25,12224,390
1.400500,[Sector: 0 elevation: 0.000000],6,17,12224,390
1.400500,[Sector: 0 elevation: 0.000000],5,27,12224,390
1.400500,[Sector: 0 elevation: 0.000000],4,27,12224,377
1.400500,[Sector: 0 elevation: 0.000000],3,25,12224,377
1.400500,[Sector: 0 elevation: 0.000000],2,27,12224,390
1.400500,[Sector: 0 elevation: 0.000000],1,27,12224,390
1.401500,[Sector: 0 elevation: 0.000000],9,23,9045,390
1.401500,[Sector: 0 elevation: 0.000000],8,25,8672,390
1.401500,[Sector: 0 elevation: 0.000000],7,25,8549,377
1.401500,[Sector: 0 elevation: 0.000000],6,17,9822,390
1.401500,[Sector: 0 elevation: 0.000000],5,27,8249,377
1.401500,[Sector: 0 elevation: 0.000000],4,27,8382,390
1.401500,[Sector: 0 elevation: 0.000000],3,25,8672,390
1.401500,[Sector: 0 elevation: 0.000000],2,27,8249,377
1.401500,[Sector: 0 elevation: 0.000000],1,27,8249,377
1.402000,[Sector: 0 elevation: 0.000000],9,23,5756,377
1.402000,[Sector: 0 elevation: 0.000000],8,25,4997,377
1.402000,[Sector: 0 elevation: 0.000000],7,25,4997,390
1.402000,[Sector: 0 elevation: 0.000000],6,17,7420,377
1.402000,[Sector: 0 elevation: 0.000000],5,27,4407,390
1.402000,[Sector: 0 elevation: 0.000000],4,27,4407,390
1.402000,[Sector: 0 elevation: 0.000000],3,25,4997,377
1.402000,[Sector: 0 elevation: 0.000000],2,27,4407,390
1.402000,[Sector: 0 elevation: 0.000000],1,27,4407,390
1.402500,[Sector: 0 elevation: 0.000000],9,23,2577,312
1.402500,[Sector: 0 elevation: 0.000000],8,25,1445,156
