time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
4.2005,[Sector: 0 elevation: 0.000000],5203.3640256,1,dynamic_continuous_30s,bw100,100,rr
4.2015,[Sector: 0 elevation: 0.000000],5221.7392032,1,dynamic_continuous_30s,bw100,100,rr
4.202,[Sector: 0 elevation: 0.000000],5207.466537,1,dynamic_continuous_30s,bw100,100,rr
4.2025,[Sector: 0 elevation: 0.000000],2392.5673044,1,dynamic_continuous_30s,bw100,100,rr
4.203,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
4.2125,[Sector: 0 elevation: 0.000000],3284.7388235999997,1,dynamic_continuous_30s,bw100,100,rr
4.213,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
4.2225,[Sector: 0 elevation: 0.000000],549.8964432,1,dynamic_continuous_30s,bw100,100,rr
4.223,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
4.4005,[Sector: 0 elevation: 0.000000],5338.3256316,1,dynamic_continuous_30s,bw100,100,rr
4.4015,[Sector: 0 elevation: 0.000000],5354.5562694,1,dynamic_continuous_30s,bw100,100,rr
4.402,[Sector: 0 elevation: 0.000000],5340.0739625999995,1,dynamic_continuous_30s,bw100,100,rr
4.4025,[Sector: 0 elevation: 0.000000],1950.3704375999998,1,dynamic_continuous_30s,bw100,100,rr
4.403,[Sector: 0 elevation: 0.000000],7.6142898,1,dynamic_continuous_30s,bw100,100,rr
4.4125,[Sector: 0 elevation: 0.000000],3793.645557,1,dynamic_continuous_30s,bw100,100,rr
4.413,[Sector: 0 elevation: 0.000000],596.6081082,1,dynamic_continuous_30s,bw100,100,rr
4.4225,[Sector: 0 elevation: 0.000000],628.4484180000001,1,dynamic_continuous_30s,bw100,100,rr
4.423,[Sector: 0 elevation: 0.000000],101.741328,1,dynamic_continuous_30s,bw100,100,rr
4.6005,[Sector: 0 elevation: 0.000000],5655.570336,1,dynamic_continuous_30s,bw100,100,rr
4.6015,[Sector: 0 elevation: 0.000000],5649.7194936,1,dynamic_continuous_30s,bw100,100,rr
4.602,[Sector: 0 elevation: 0.000000],5657.3186670000005,1,dynamic_continuous_30s,bw100,100,rr
4.6025,[Sector: 0 elevation: 0.000000],1452.2830686,1,dynamic_continuous_30s,bw100,100,rr
4.6145,[Sector: 0 elevation: 0.000000],4056.112008,1,dynamic_continuous_30s,bw100,100,rr
4.6245,[Sector: 0 elevation: 0.000000],654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr
4.8005,[Sector: 0 elevation: 0.000000],5255.8139556,1,dynamic_continuous_30s,bw100,100,rr
4.8015,[Sector: 0 elevation: 0.000000],5264.0189784,1,dynamic_continuous_30s,bw100,100,rr
4.802,[Sector: 0 elevation: 0.000000],5268.338290799999,1,dynamic_continuous_30s,bw100,100,rr
4.8025,[Sector: 0 elevation: 0.000000],2257.1227691999998,1,dynamic_continuous_30s,bw100,100,rr
4.803,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
4.814,[Sector: 0 elevation: 0.000000],4053.406968,1,dynamic_continuous_30s,bw100,100,rr
4.824,[Sector: 0 elevation: 0.000000],753.3790992,1,dynamic_continuous_30s,bw100,100,rr
5.0005,[Sector: 0 elevation: 0.000000],5267.828708999999,1,dynamic_continuous_30s,bw100,100,rr
5.0015,[Sector: 0 elevation: 0.000000],5271.464203199999,1,dynamic_continuous_30s,bw100,100,rr
5.002,[Sector: 0 elevation: 0.000000],5269.57704,1,dynamic_continuous_30s,bw100,100,rr
5.0025,[Sector: 0 elevation: 0.000000],2192.7563424,1,dynamic_continuous_30s,bw100,100,rr
5.0125,[Sector: 0 elevation: 0.000000],3489.2529749999994,1,dynamic_continuous_30s,bw100,100,rr
5.013,[Sector: 0 elevation: 0.000000],20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr
5.0225,[Sector: 0 elevation: 0.000000],441.9319320000001,1,dynamic_continuous_30s,bw100,100,rr
5.2005,[Sector: 0 elevation: 0.000000],5326.4393676,1,dynamic_continuous_30s,bw100,100,rr
