time_s,beam_id,backlog_total_bytes,ues_com_backlog,ues_atendidos,starvation_real_pct,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode,jain_backlog,jain_alocacao
2.4015,[Sector: 0 elevation: 0.000000],79865,9,9,0.0,4910.3453412,1,dynamic_continuous_30s,bw100,100,rr,0.9921624720913084,0.9997174183338985
2.402,[Sector: 0 elevation: 0.000000],49618,9,9,0.0,4906.4524704,1,dynamic_continuous_30s,bw100,100,rr,0.9210454155539589,0.9997174183338985
2.4025,[Sector: 0 elevation: 0.000000],19393,9,9,0.0,2884.8038309999997,1,dynamic_continuous_30s,bw100,100,rr,0.4412316782083971,0.34177277735778205
2.403,[Sector: 0 elevation: 0.000000],20,2,2,0.0,17.1865512,1,dynamic_continuous_30s,bw100,100,rr,0.2222222222222222,0.2222222222222222
2.4125,[Sector: 0 elevation: 0.000000],18377,7,7,0.0,3155.5381571999997,1,dynamic_continuous_30s,bw100,100,rr,0.7288348832965442,0.7326823314006713
2.413,[Sector: 0 elevation: 0.000000],7105,2,2,0.0,1193.2162164,1,dynamic_continuous_30s,bw100,100,rr,0.22222168957011307,0.2222222222222222
2.4225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
2.423,[Sector: 0 elevation: 0.000000],1104,2,2,0.0,203.482656,1,dynamic_continuous_30s,bw100,100,rr,0.2222222222222222,0.2222222222222222
2.6005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5774.5431666,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
2.6015,[Sector: 0 elevation: 0.000000],75363,9,9,0.0,5772.7948356,1,dynamic_continuous_30s,bw100,100,rr,0.9997114915889446,0.9997174183338985
2.602,[Sector: 0 elevation: 0.000000],40720,9,9,0.0,5776.2914976,1,dynamic_continuous_30s,bw100,100,rr,0.997606365720979,0.9997174183338985
2.6025,[Sector: 0 elevation: 0.000000],6057,9,9,0.0,1130.9080067999998,1,dynamic_continuous_30s,bw100,100,rr,0.7538654839152927,0.790154711673699
2.614,[Sector: 0 elevation: 0.000000],25734,9,9,0.0,4319.2678464,1,dynamic_continuous_30s,bw100,100,rr,0.9847141311843495,0.9904686581087384
2.624,[Sector: 0 elevation: 0.000000],3864,7,7,0.0,762.1207542000001,1,dynamic_continuous_30s,bw100,100,rr,0.7777777777777778,0.7741935483870968
2.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5033.94021,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
2.8015,[Sector: 0 elevation: 0.000000],78872,9,9,0.0,5039.324035199999,1,dynamic_continuous_30s,bw100,100,rr,0.9950855007500348,0.9997174183338985
2.802,[Sector: 0 elevation: 0.000000],47709,9,9,0.0,5043.4265466,1,dynamic_continuous_30s,bw100,100,rr,0.9488773454661072,0.9997174183338985
2.8025,[Sector: 0 elevation: 0.000000],16523,9,9,0.0,2532.1410036,1,dynamic_continuous_30s,bw100,100,rr,0.4925490795352093,0.42314206940889926
2.8125,[Sector: 0 elevation: 0.000000],19504,9,9,0.0,3333.203991,1,dynamic_continuous_30s,bw100,100,rr,0.8024948266693859,0.8708127923144988
2.8225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
3.0005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5003.1592416,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
3.0015,[Sector: 0 elevation: 0.000000],79243,9,9,0.0,5028.207912,1,dynamic_continuous_30s,bw100,100,rr,0.9929968465105091,0.9997174183338985
3.002,[Sector: 0 elevation: 0.000000],48344,9,9,0.0,5007.261753,1,dynamic_continuous_30s,bw100,100,rr,0.9256655193715573,0.9997174183338985
3.0025,[Sector: 0 elevation: 0.000000],17548,9,9,0.0,2676.0455513999996,1,dynamic_continuous_30s,bw100,100,rr,0.42403868719750426,0.35307860108366756
3.003,[Sector: 0 elevation: 0.000000],20,2,2,0.0,19.1445228,1,dynamic_continuous_30s,bw100,100,rr,0.2222222222222222,0.2222222222222222
3.0125,[Sector: 0 elevation: 0.000000],19198,7,7,0.0,3296.2276854,1,dynamic_continuous_30s,bw100,100,rr,0.7328970001284826,0.7327895192188851
3.013,[Sector: 0 elevation: 0.000000],7094,2,2,0.0,1193.2162164,1,dynamic_continuous_30s,bw100,100,rr,0.2222222222222222,0.2222222222222222
3.0225,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,660.3794262000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.663216011042098
3.023,[Sector: 0 elevation: 0.000000],1104,2,2,0.0,203.482656,1,dynamic_continuous_30s,bw100,100,rr,0.2222222222222222,0.2222222222222222
3.2005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5774.5431666,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
3.2015,[Sector: 0 elevation: 0.000000],75363,9,9,0.0,5772.7948356,1,dynamic_continuous_30s,bw100,100,rr,0.9997114915889446,0.9997174183338985
3.202,[Sector: 0 elevation: 0.000000],40720,9,9,0.0,5776.2914976,1,dynamic_continuous_30s,bw100,100,rr,0.997606365720979,0.9997174183338985
3.2025,[Sector: 0 elevation: 0.000000],6057,9,9,0.0,1130.9080067999998,1,dynamic_continuous_30s,bw100,100,rr,0.7538654839152927,0.790154711673699
3.213,[Sector: 0 elevation: 0.000000],25734,9,9,0.0,4321.0161774,1,dynamic_continuous_30s,bw100,100,rr,0.9847141311843495,0.9911922881785895
3.223,[Sector: 0 elevation: 0.000000],3864,7,7,0.0,762.1207542000001,1,dynamic_continuous_30s,bw100,100,rr,0.7777777777777778,0.7741935483870968
3.4005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5033.94021,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
3.4015,[Sector: 0 elevation: 0.000000],78872,9,9,0.0,5039.324035199999,1,dynamic_continuous_30s,bw100,100,rr,0.9950855007500348,0.9997174183338985
3.402,[Sector: 0 elevation: 0.000000],47709,9,9,0.0,5045.1748776,1,dynamic_continuous_30s,bw100,100,rr,0.9488773454661072,0.9997174183338985
3.4025,[Sector: 0 elevation: 0.000000],16513,9,9,0.0,2530.3926726000004,1,dynamic_continuous_30s,bw100,100,rr,0.49029921402663945,0.42248392153958203
3.4125,[Sector: 0 elevation: 0.000000],19514,9,9,0.0,3351.9212766,1,dynamic_continuous_30s,bw100,100,rr,0.7993552144986817,0.8372906688406535
3.413,[Sector: 0 elevation: 0.000000],10,1,1,0.0,20.348265599999998,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
3.4225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,543.67326,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
3.6005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5365.1293956,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
3.6015,[Sector: 0 elevation: 0.000000],77332,9,9,0.0,5378.1123941999995,1,dynamic_continuous_30s,bw100,100,rr,0.9969331609975957,0.9997174183338985
3.602,[Sector: 0 elevation: 0.000000],44586,9,9,0.0,5369.231906999999,1,dynamic_continuous_30s,bw100,100,rr,0.9618398742182513,0.9997174183338985
3.6025,[Sector: 0 elevation: 0.000000],11879,9,9,0.0,1929.4664454,1,dynamic_continuous_30s,bw100,100,rr,0.44352087480086166,0.3565642043768969
3.613,[Sector: 0 elevation: 0.000000],22014,9,9,0.0,3672.2302344,1,dynamic_continuous_30s,bw100,100,rr,0.8783113505837777,0.8605294350059265
3.623,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6666666666666666
3.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5061.7730826,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
3.8015,[Sector: 0 elevation: 0.000000],78828,9,9,0.0,5073.0077502,1,dynamic_continuous_30s,bw100,100,rr,0.9941852500827671,0.9997174183338985
3.802,[Sector: 0 elevation: 0.000000],47588,9,9,0.0,5074.2974178,1,dynamic_continuous_30s,bw100,100,rr,0.9380400109178618,0.9997174183338985
3.8025,[Sector: 0 elevation: 0.000000],16337,9,9,0.0,2482.0854317999997,1,dynamic_continuous_30s,bw100,100,rr,0.4388443855687164,0.35487566049588
3.803,[Sector: 0 elevation: 0.000000],10,1,1,0.0,9.5722614,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
3.8125,[Sector: 0 elevation: 0.000000],20116,8,8,0.0,3421.189395,1,dynamic_continuous_30s,bw100,100,rr,0.8029617859174886,0.8329101680570669
3.813,[Sector: 0 elevation: 0.000000],3547,1,1,0.0,596.6081082,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
3.8225,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
3.823,[Sector: 0 elevation: 0.000000],552,1,1,0.0,101.741328,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.0005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5528.392482599999,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
4.0015,[Sector: 0 elevation: 0.000000],76735,9,9,0.0,5532.494994,1,dynamic_continuous_30s,bw100,100,rr,0.9991263704752271,0.9997174183338985
4.002,[Sector: 0 elevation: 0.000000],43431,9,9,0.0,5532.494994,1,dynamic_continuous_30s,bw100,100,rr,0.988335284104945,0.9997174183338985
4.0025,[Sector: 0 elevation: 0.000000],10127,9,9,0.0,1781.8631532,1,dynamic_continuous_30s,bw100,100,rr,0.6622682221542493,0.6475095785440613
4.0145,[Sector: 0 elevation: 0.000000],21738,9,9,0.0,3703.8986945999995,1,dynamic_continuous_30s,bw100,100,rr,0.904423850771669,0.9409304756926293
4.0245,[Sector: 0 elevation: 0.000000],2760,5,5,0.0,552.4149150000001,1,dynamic_continuous_30s,bw100,100,rr,0.5555555555555556,0.5555555555555556
