time_s,beam_id,rnti,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
0.602,[Sector: 0 elevation: 0.000000],6,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],3,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.602,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],9,431.8580448,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],8,413.8639596,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],7,431.8580448,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],6,431.8580448,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],5,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],4,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],3,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],2,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.6025,[Sector: 0 elevation: 0.000000],1,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],9,141.20507700000002,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],8,198.8693694,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],7,161.94676679999998,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],6,141.20507700000002,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],5,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],4,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],3,529.0549056,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],2,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.615,[Sector: 0 elevation: 0.000000],1,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],5,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],4,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],3,101.741328,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],2,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.625,[Sector: 0 elevation: 0.000000],1,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],9,325.85787,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],8,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],7,610.447968,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],6,287.167842,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],5,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],4,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],3,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],2,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.8005,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],9,314.995941,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],8,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],7,590.0997024,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],6,277.59558059999995,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],3,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8015,[Sector: 0 elevation: 0.000000],1,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],9,325.85787,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],8,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],7,610.447968,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],6,287.167842,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],5,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],4,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],3,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.802,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],9,695.1634560000001,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],8,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],7,223.83092159999995,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],6,832.7867417999998,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],5,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],4,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],3,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],2,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.8025,[Sector: 0 elevation: 0.000000],1,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
0.803,[Sector: 0 elevation: 0.000000],6,9.5722614,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],9,76.033503,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],8,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],7,386.61704639999994,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],5,508.22172180000007,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],4,508.22172180000007,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],3,508.22172180000007,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],2,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.8125,[Sector: 0 elevation: 0.000000],1,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
0.813,[Sector: 0 elevation: 0.000000],6,596.6081082,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],8,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],5,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],4,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],3,101.741328,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],2,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.8225,[Sector: 0 elevation: 0.000000],1,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
0.823,[Sector: 0 elevation: 0.000000],6,101.741328,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],9,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],8,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],7,610.447968,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],6,590.0997024,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],3,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],2,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0005,[Sector: 0 elevation: 0.000000],1,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],9,539.8225559999998,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],8,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],7,590.0997024,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],6,610.447968,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],5,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],4,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],3,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],2,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.0015,[Sector: 0 elevation: 0.000000],1,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],9,521.8284708,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],8,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],7,610.447968,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],6,590.0997024,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],5,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],4,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],3,662.897898,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],2,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.002,[Sector: 0 elevation: 0.000000],1,640.8013013999999,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],9,413.8639596,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],8,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],7,223.83092159999995,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],6,244.1791872,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],5,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],4,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],3,88.38638639999999,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],2,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
1.0025,[Sector: 0 elevation: 0.000000],1,110.48298300000002,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],9,152.067006,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],8,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],7,386.61704639999994,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],6,359.88170399999996,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],5,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],4,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],3,530.3183184,1,dynamic_continuous_30s,bw100,100,rr
1.014,[Sector: 0 elevation: 0.000000],2,508.22172180000007,1,dynamic_continuous_30s,bw100,100,rr
